file_path,interaction_type,line_number,matched_symbol,code_context
scripts/test_labels.py,import,125,app.features.time_cycle,"tc_mod = try_import_feature_mod(""app.features.time_cycle"")"
scripts/test_labels.py,import,126,app.features.microstructure,"ms_mod = try_import_feature_mod(""app.features.microstructure"")"
scripts/test_labels.py,import,127,app.features.options_features,"opt_mod = try_import_feature_mod(""app.features.options_features"")"
scripts/test_labels.py,call,239,compute_time_cycle_features,"            tc = tc_mod.compute_time_cycle_features(ohlcv)"
scripts/test_labels.py,call,251,compute_microstructure_features,"            ms = ms_mod.compute_microstructure_features(ohlcv)"
scripts/test_labels.py,call,263,compute_options_features,"            opt = opt_mod.compute_options_features(ohlcv)"
scripts/test_labels.py,feature_reference,159,tc_ema_21,"    df[""tc_ema_21""] = ema21"
scripts/test_labels.py,feature_reference,163,tc_rsi_14,"    df[""tc_rsi_14""] = rsi.fillna(50)"
scripts/test_labels.py,feature_reference,188,ms_aggression_idx,"    df[""ms_aggression_idx""] = np.abs(df[""ms_microtrend_vector""]) * 10.0"
scripts/test_all_features.py,import,3,app.features.time_cycle,"from app.features.time_cycle import compute_time_cycle_features"
scripts/test_all_features.py,import,4,app.features.microstructure,"from app.features.microstructure import compute_microstructure_features"
scripts/test_all_features.py,import,5,app.features.options_features,"from app.features.options_features import compute_options_features"
scripts/test_all_features.py,call,74,compute_time_cycle_features,"tc = compute_time_cycle_features(spot)"
scripts/test_all_features.py,call,75,compute_microstructure_features,"ms = compute_microstructure_features(spot, trades_df=trades, depth_df=depth)"
scripts/test_all_features.py,call,76,compute_options_features,"optf = compute_options_features(opt, spot_series=spot.set_index(""datetime"")[""close""])"
scripts/prepare_labels_dataset.py,import,33,app.features.time_cycle,"    from app.features import time_cycle as tc_mod  # type: ignore"
scripts/prepare_labels_dataset.py,import,38,app.features.microstructure,"    from app.features import microstructure as ms_mod  # type: ignore"
scripts/prepare_labels_dataset.py,import,43,app.features.options_features,"    from app.features import options_features as opt_mod  # type: ignore"
scripts/prepare_labels_dataset.py,call,165,compute_time_cycle_features,"            tc_candidate = tc_mod.compute_time_cycle_features(df_spot.reset_index().rename_axis(None, axis=1).reset_index())"
scripts/prepare_labels_dataset.py,call,180,compute_microstructure_features,"            ms_candidate = ms_mod.compute_microstructure_features(df_spot.reset_index().rename_axis(None, axis=1).reset_index())"
scripts/prepare_labels_dataset.py,call,195,compute_options_features,"            opt_candidate = opt_mod.compute_options_features(df_spot.reset_index().rename_axis(None, axis=1).reset_index())"
app/orchestrator/backtest_v02.py,import,72,app.features.time_cycle,"    from app.features.time_cycle import compute_time_cycle_features, atr as tc_atr_helper"
app/orchestrator/backtest_v02.py,import,73,app.features.microstructure,"    from app.features.microstructure import compute_microstructure_features"
app/orchestrator/backtest_v02.py,import,74,app.features.options_features,"    from app.features.options_features import compute_options_features"
app/orchestrator/backtest_v02.py,call,226,compute_time_cycle_features,"    tc = compute_time_cycle_features(spot_df)"
app/orchestrator/backtest_v02.py,call,236,compute_microstructure_features,"    ms = compute_microstructure_features(spot_df, trades_df=trades_df)"
app/orchestrator/backtest_v02.py,call,248,compute_options_features,"        optf = compute_options_features(opt_df, spot_series=spot_df[""close""])"
app/orchestrator/backtest_v02.py,feature_reference,301,tc_atr,"        if isinstance(tc, pd.DataFrame) and ""tc_atr"" in tc.columns:"
app/ml/labels/regime.py,feature_reference,65,tc_atr,"    atr_col = params.get(""atr_col"", ""tc_atr"")"
app/ml/labels/regime.py,feature_reference,66,tc_adx,"    adx_col = params.get(""adx_col"", ""tc_adx"")"
app/ml/labels/regime.py,feature_reference,68,tc_trend_strength,"    trend_strength_col = params.get(""trend_strength_col"", ""tc_trend_strength"")"
app/ml/labels/regime.py,feature_reference,70,tc_vol_comp_ratio,"    vol_comp_col = params.get(""vol_comp_col"", ""tc_vol_comp_ratio"")"
app/ml/labels/reversal.py,feature_reference,90,tc_rsi_14,"        ""tc_rsi_14"","
app/ml/labels/reversal.py,feature_reference,94,ms_aggression_idx,"        ""ms_aggression_idx"","
app/ml/labels/vvh/reversal.py,feature_reference,53,ms_aggression_idx_v2,"          * abs(ms_aggression_idx_v2) > 0.5"
scripts/validate_labels_dataset.py,merge,307,pd.read_csv,"    return pd.read_csv(path, low_memory=False)"
scripts/train_smoke.py,merge,76,X_train,"    X_train, X_val = X.iloc[:split].fillna(0), X.iloc[split:].fillna(0)"
